wire_name,sub_spec_phase_tag,mention_count
RECEIPT_SEQUENCE_OUT_OF_ORDER,S6.3,5
RECOVERY_BOOT_ENTERED,S14.1,2
RECOVERY_BOOT_ENTERED,S9.1,5
RECOVERY_BOOT_EXITED,S9.1,5
RECOVERY_EVENT,S0.3,2
RECOVERY_EVENT,S2.3,3
RECOVERY_EVENT,S2.4,4
RECOVERY_EVENT,S4.1,3
RECOVERY_EVENT,S5.4,5
RECOVERY_EVENT,S6.4,2
RECOVERY_EVENT,S8.4,1
RECOVERY_FORENSIC_ATTACH_PERFORMED,S9.1,4
RECOVERY_KIND_REJECTED,S2.4,1
RECOVERY_KIND_REJECTED,S7.1,3
RECOVERY_L5_START_BLOCKED,S9.1,5
RECOVERY_LOOP_DETECTED,S14.1,6
RECOVERY_NETWORK_LAN_DISABLED,S9.1,2
RECOVERY_NETWORK_LAN_ENABLED,S9.1,4
RECOVERY_OPERATION_PERFORMED,S0.3,1
RECOVERY_OPERATION_PERFORMED,S9.1,6
RECOVERY_OPERATOR_AUTHENTICATED,S9.1,4
RECOVERY_OPERATOR_REGISTERED,S9.2,4
RECOVERY_REHEARSAL_PASSED,S13.1,1
RECOVERY_REHEARSAL_PASSED,S6.2,6
RECOVERY_REHEARSAL_PASSED,S6.3,3
RECOVERY_REHEARSAL_PASSED,S6.4,1
RECOVERY_TTL_EXPIRED_AUTO_REBOOT,S9.1,2
RELEASE_GATE_PASSED,S13.1,1
RELEASE_GATE_PASSED,S6.2,5
RELEASE_GATE_PASSED,S6.3,3
RELEASE_GATE_PASSED,S6.4,1
REMOVABLE_DEVICE_APPROVED,S10.1,1
REMOVABLE_DEVICE_APPROVED,S8.3,6
REMOVABLE_DEVICE_DENIED,S8.3,4
REMOVABLE_DEVICE_REQUEST,S8.3,5
RESET_TO_FACTORY_INITIATED,S9.2,10
RESOLVER_BACKEND_DEGRADED,S8.4,3
